Systematic Name,NCBI code,Gene Name,Uniprot ID,Annotation,Predicted Number of Zinc Ions Per Monomer,Subcellular Location,Zinc ligands,Structural Zn-site classification,Zinc Function,Zn-binding domain,EC number,Enzyme Class
YLR403W,NP_013507,SFP1,P32432,NP_013507.1 zinc-coordinating transcription factor SFP1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C661, C664, H680, H683",C2H2_ZnFinger,Structural,"C2H2-type, C2H2-type",,
YMR075W,NP_013791 ,RCO1,Q04779,NP_013791.1 Rco1p [Saccharomyces cerevisiae S288c],2,nucleus,"C263, C266, Q268, C275, C278, H283, C286, C303, C306, C417, C420",TrebleClef,Structural,PHD,,
YDR034C,NP_010317 ,LYS14,P40971,NP_010317.3 Lys14p [Saccharomyces cerevisiae S288c],2,nucleus,"C159, C162, C169, C176, C179, C186",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YJR027W,NP_012560,TY1B-JR1,P47098,NP_012560.1 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H599, H604, C637, C640",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YIR023W,NP_012289 ,DAL81,P21657,NP_012289.3 Dal81p [Saccharomyces cerevisiae S288c],2,nucleus,"C150, C153, C160, C169, C172, C179",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YPR176C,NP_015502 ,BET2,P20133,NP_015502.1 Rab geranylgeranyltransferase BET2 [Saccharomyces cerevisiae S288c],1,cytosol,"D135, D234, C236, D283, H286",NoCluster,Catalytic,Prenyltrans,2.5.1.60,transferase
YPL103C,NP_015222 ,FMP30,Q02883,NP_015222.1 N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D [Saccharomyces cerevisiae S288c],2,mitochondrion,"H265, H267, D269, H270, H332, D364, H425",ZincNecklaces,Catalytic,"Lactamase_B_2,Lactamase_B_3",3.1.4.54,hydrolase
YLL031C,NP_013069,GPI13,Q07830,NP_013069.1 mannose-ethanolamine phosphotransferase GPI13 [Saccharomyces cerevisiae S288c],2,ER,"Catalytic,Structural",HelicalAnchors,Catalytic,Phosphodiest,2.-.-.-,transferase
YLL062C,NP_013038 ,MHT1,Q12525,NP_013038.1 S-adenosylmethionine-homocysteine S-methyltransferase MHT1 [Saccharomyces cerevisiae S288c],1,cytosol,"C238, N265, C305, C306",NoCluster,Catalytic,S-methyl_trans,2.1.1.10,transferase
YKR087C,NP_013013 ,OMA1,P36163,NP_013013.2 metalloendopeptidase [Saccharomyces cerevisiae S288c],1,mitochondrion,"H203, H207, E257, H306",HelicalAnchors,Catalytic,Peptidase_M48,3.4.24.-,hydrolase
YGL248W,NP_011266 ,PDE1,P22434,"NP_011266.1 3',5'-cyclic-nucleotide phosphodiesterase PDE1 [Saccharomyces cerevisiae S288c]",2,Unknown,"H128, H130, D132, H133, H213, D244, H326",NoCluster,Catalytic,PDEase_II,3.1.4.17,hydrolase
YOR360C,NP_015005 ,PDE2,P06776,"NP_015005.1 3',5'-cyclic-nucleotide phosphodiesterase PDE2 [Saccharomyces cerevisiae S288c]",1,"cytosol, nucleus","H269, H302, D303, E332, D400",NoCluster,Catalytic,PDEase_I,3.1.4.53,hydrolase
YBR074W,NP_009630 ,PFF1,P38244,NP_009630.3 Pff1p [Saccharomyces cerevisiae S288c],2,vacuolar membrane,"D168, E201, H300",NoCluster,Catalytic,Peptidase_M28,3.4.-.-,hydrolase
YOL066C,NP_014575 ,RIB2,Q12362,NP_014575.1 bifunctional DRAP deaminase/tRNA pseudouridine synthase RIB2 [Saccharomyces cerevisiae S288c],1,cytosol,"H482, E484, C515, C525","ZincNecklaces, NoCluster",Catalytic,dCMP_cyt_deam_1,"5.4.99.28, 3.5.4.26",isomerase
YLR277C,NP_013379 ,YSH1,Q06224,NP_013379.1 cleavage polyadenylation factor subunit YSH1 [Saccharomyces cerevisiae S288c],2,nucleus,"H68, H70, D72, H73, H163, D184, H430",ZincNecklaces,Catalytic,"RMMBL,Lactamase_B_2,Lactamase_B,Lactamase_B_6",3.1.27.-,hydrolase
YOR113W,NP_014756 ,AZF1,P41696,NP_014756.3 Azf1p [Saccharomyces cerevisiae S288c],4,"cytosol, nucleus","H611, H615, C623, C626, K628, H639, H643, C651, C654, K656, H667, H671, C679, C684, H697, H702",C2H2_ZnFinger,Structural,"zf-C2H2,zf-H2C2_2",,
YPL181W,NP_015144 ,CTI6,Q08923,NP_015144.1 Cti6p [Saccharomyces cerevisiae S288c],2,nucleus,"C75, C77, C92, C95, H100, C103, C117, C120",TrebleClef,Structural,PHD,,
YGR093W,NP_011607 ,DRN1,P53255,NP_011607.3 Drn1p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus",C269-C272-H319-H366,ZincNecklaces,Structural,CwfJ_C_1,,
YLR228C,NP_013329 ,ECM22,Q05958,NP_013329.1 Ecm22p [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C44, C47, C54, C61, C64, C71",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YFL021W,NP_116632 ,GAT1,P43574,NP_116632.1 Gat1p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C310, C313, C331, C334",TrebleClef,Structural,GATA,,
YPR008W,NP_015333 ,HAA1,Q12753,NP_015333.1 Haa1p [Saccharomyces cerevisiae S288c],1,nucleus,"C11, C14, C23, H25",Zn2Cys6_ZnFinger,Structural,Copper-fist,,
YOL068C,NP_014573 ,HST1,P53685,NP_014573.1 histone deacetylase HST1 [Saccharomyces cerevisiae S288c],1,nucleus,"C318, C321, C342, C345",ZincRibbon,Structural,SIR2,3.5.1.-,hydrolase
YHR192W,NP_012062 ,LNP1,P38878,NP_012062.1 Lnp1p [Saccharomyces cerevisiae S288c],1,ER,"C223, C226, C244, C247",ZincRibbon,Structural,C4-type,,
YFL044C,NP_116610,OTU1,P43558,NP_116610.1 ubiquitin-specific protease OTU1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C272, C275, H288, H294",C2H2_ZnFinger,Structural,C2H2-type,3.4.19.12,hydrolase
YKL025C,NP_012900,PAN3,P36102,NP_012900.1 Pan3p [Saccharomyces cerevisiae S288c],1,cytosol,"C14, C23, C30, H34",NoCluster,Structural,C3H1-type,,
YGL013C,NP_011502 ,PDR1,P12383,NP_011502.1 drug-responsive transcription factor PDR1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C46, C49, C56, C62, C65, C72",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YMR231W,NP_013958 ,PEP5,P12868,NP_013958.1 tethering complex subunit PEP5 [Saccharomyces cerevisiae S288c],1 or 2,vacuolar membrane,"C928, C931, C944, H946, H949, C952, C969, C972",Unknown,Structural,RING-type,2.3.2.27,transferase
YGL070C,NP_011445 ,RPB9,P27999,NP_011445.1 DNA-directed RNA polymerase II core subunit RPB9 [Saccharomyces cerevisiae S288c],2,nucleus,"C7, R8, C10, C29, C32, C75, K77, C78, S80, C103, C106",ZincRibbon,Structural,"RNA_POL_M_15KD,TFIIS_C",,
YER139C,NP_011066 ,RTR1,P40084,NP_011066.3 RNA polymerase II subunit B1 CTD phosphatase RTR1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C73, C78, C112, H116",C2H2_ZnFinger,Structural,RPAP2_Rtr1,3.1.3.16,hydrolase
YPL047W,NP_015278 ,SGF11,Q03067,NP_015278.1 SAGA histone acetyltransferase complex subunit SGF11 [Saccharomyces cerevisiae S288c],1,nucleus,"C73, C76, H88, C92",C2H2_ZnFinger,Structural,Sgf11,,
YDR409W,NP_010697 ,SIZ1,Q04195,NP_010697.3 SUMO ligase SIZ1 [Saccharomyces cerevisiae S288c],1,nucleus,"C377, H379, C400, C403",Loosened_ZnRibbon,Structural,zf-MIZ,6.3.2.-,ligase
YLR005W,NP_013105 ,SSL1,Q04673,NP_013105.1 TFIIH/NER complex subunit SSL1 [Saccharomyces cerevisiae S288c],2,nucleus,"C403, C406, C429, C432, C437, D439, C440, H445, H449, C349, C352",TrebleClef,Structural,C1_4,,
YPL016W,NP_015309,SWI1,P09547,NP_015309.1 Swi1p [Saccharomyces cerevisiae S288c],1,nucleus,"C1241, 1247, C1254, C1258",ZincRibbon,Structural,C4-type,,
YOR337W,NP_014982 ,TEA1,P47988,NP_014982.3 Tea1p [Saccharomyces cerevisiae S288c],2,nucleus,"C70, C73, C80, C86, C89, C96",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YDR460W,NP_010748 ,TFB3,Q03290,NP_010748.3 TFIIH/NER complex subunit TFB3 [Saccharomyces cerevisiae S288c],2,nucleus,"C13, C16, C39, C42",TrebleClef,Structural,Unknown,,
YLR136C,NP_013237 ,TIS11,P47977,NP_013237.1 Tis11p [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C175, C184, C190, H194, C213, C222, C228, H232",ZincNecklaces,Structural,zf-CCCH,,
YDR207C,NP_010493 ,UME6,P39001,NP_010493.1 DNA-binding transcriptional regulator UME6 [Saccharomyces cerevisiae S288c],2,nucleus,"C771, C774, C781, C788, C791, C798",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YOR004W,NP_014646 ,UTP23,Q12339,NP_014646.1 rRNA-binding ribosome biosynthesis protein UTP23 [Saccharomyces cerevisiae S288c],1,"mitochondrion,nucleus","C64, C89, H91, C102",NoCluster,Structural,Fcf1,,
YLR373C,NP_013477,VID22,Q05934,NP_013477.1 Vid22p [Saccharomyces cerevisiae S288c],1,nucleus,"C87, C90, H110, H115",Unknown,Structural,BED-type,,
YBL029C-A,NP_076874 ,YBL029C-A,Q3E756,NP_076874.1 hypothetical protein YBL029C-A [Saccharomyces cerevisiae S288c],1,Unknown,C28-C31-C63-C66,Unknown,Structural,zinc_ribbon_15,,
YGL211W,NP_011304 ,NCS6,P53088,NP_011304.2 Ncs6p [Saccharomyces cerevisiae S288c],1,cytosol,"C308, C311, C320, C323",Unknown,Unknown,Unknown,2.7.7.-,transferase
YNL250W,NP_014149 ,RAD50,P12753,NP_014149.1 MRX complex DNA-binding subunit [Saccharomyces cerevisiae S288c],1,nucleus,"C687, C690",ZincRibbon,Unknown,Rad50_zn_hook,3.6.-.-,hydrolase
YNL040W,NP_014358 ,YNE0,P53960,NP_014358.3 putative alanine--tRNA ligase [Saccharomyces cerevisiae S288c],1,cytosol,"C240, H244",HelicalAnchors,Unknown,tRNA_SAD,,
YMR321C,NP_014054 , YMR321C,Q04898,NP_014054.3 hypothetical protein YMR321C [Saccharomyces cerevisiae S288c],1,Unknown,"C19, N46, C86, C87",NoCluster,Catalytic,S-methyl_trans,,
YKL103C,NP_012819 ,APE1,P14904,NP_012819.1 metalloaminopeptidase APE1 [Saccharomyces cerevisiae S288c],2,vacuole,"H132, D303, E340, D385, H479",NoCluster,Catalytic,Peptidase_M18,3.4.11.22,hydrolase
YNR020C,NP_014417,ATP23,P53722,NP_014417.3 putative metalloprotease [Saccharomyces cerevisiae S288c],1,mitochondrion,"H124, H128",Unknown,Catalytic,Peptidase_M76,3.4.24.-,hydrolase
YPR122W,NP_015447 ,AXL1,P40851,NP_015447.1 Axl1p [Saccharomyces cerevisiae S288c],1,cytosol,"H68, H72, E149, E156",HelicalAnchors,Catalytic,Peptidase_M16,3.4.24.-,hydrolase
YOL164W,NP_014478 ,BDS1,Q08347,NP_014478.1 sulfuric ester hydrolase [Saccharomyces cerevisiae S288c],1,Unknown,"H162, H164, D166, H167",ZincNecklaces,Catalytic,"Lactamase_B_2,Lactamase_B",3.1.6.-,hydrolase
YGL155W,NP_011360 ,CDC43,P18898,NP_011360.1 protein geranylgeranyltransferase type I subunit CDC43 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","D164, D286, C288, D338, H341",NoCluster,Catalytic,Prenyltrans,2.5.1.59,transferase
YLR245C,NP_013346 ,CDD1,Q06549,NP_013346.1 cytidine deaminase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C61, C96, C99","ZincNecklaces, NoCluster",Catalytic,dCMP_cyt_deam_1,3.5.4.5,hydrolase
YIR027C,NP_012293 ,DAL1,P32375,NP_012293.3 allantoinase [Saccharomyces cerevisiae S288c],2,Unknown,"H70, H72, H193, H247, D323",NoCluster,Catalytic,Amidohydro_1,3.5.2.5,hydrolase
YHR144C,NP_012014 ,DCD1,P06773,NP_012014.1 deoxycytidine monophosphate deaminase [Saccharomyces cerevisiae S288c],1,cytosol,"H233, E235, C260, C263","ZincNecklaces, NoCluster",Catalytic,dCMP_cyt_deam_1,3.5.4.12,hydrolase
YFL061W,NP_014064 ,DDI2,P0CH63,NP_014064.1 cyanamide hydratase [Saccharomyces cerevisiae S288c],1,Unknown,"H55, D89",NoCluster,Catalytic,HD,4.2.1.69,lyase
YNL335W,NP_116594 ,DDI3,P0CH64,NP_116594.1 cyanamide hydratase [Saccharomyces cerevisiae S288c],1,Unknown,"H55, D89",NoCluster,Catalytic,HD,4.2.1.69,lyase
YGL196W,NP_011319 ,DSD1,P53095,NP_011319.2 D-serine ammonia-lyase DSD1 [Saccharomyces cerevisiae S288c],1,Unknown,"H398, C400",HelicalAnchors,Catalytic,D-ser_dehydrat,4.3.1.18,lyase
YOR040W,NP_014683 ,GLO4,Q12320,NP_014683.1 hydroxyacylglutathione hydrolase GLO4 [Saccharomyces cerevisiae S288c],2,mitochondrion,"H69, H71, D73, H74, H131, D154",ZincNecklaces,Catalytic,"Lactamase_B_2,Lactamase_B",3.1.2.6,hydrolase
YMR281W,NP_014008 ,GPI12,P23797,NP_014008.1 N-acetylglucosaminylphosphatidylinositol deacetylase [Saccharomyces cerevisiae S288c],1,ER,"H63, D66, H176",NoCluster,Catalytic,PIG-L,3.5.1.89,hydrolase
YDL238C,NP_010043 ,GUD1,Q07729,NP_010043.1 guanine deaminase [Saccharomyces cerevisiae S288c],1,cytosol,"H100, H102, H258, H297, D348",NoCluster,Catalytic,"Amidohydro_3,Amidohydro_1",3.5.4.3,hydrolase
YPR068C,NP_015393 ,HOS1,Q12214,NP_015393.1 histone deacetylase [Saccharomyces cerevisiae S288c],1,nucleus,"H42, D245, D247, H249, S268, V269, D333","ZincNecklaces, NoCluster",Catalytic,Hist_deacetyl,3.5.1.98,hydrolase
YGL194C,NP_011321 ,HOS2,P53096,NP_011321.1 histone deacetylase HOS2 [Saccharomyces cerevisiae S288c],1,nucleus,"H45, D192, D194, H196, S215, F216, D283","ZincNecklaces, NoCluster",Catalytic,Hist_deacetyl,3.5.1.98,hydrolase
YJL062W,NP_012473,LAS21,P40367,NP_012473.1 mannose-ethanolamine phosphotransferase LAS21 [Saccharomyces cerevisiae S288c],1,ER,"D44, T84, D259, H260",HelicalAnchors,Catalytic,Phosphodiest,2.-.-.-,transferase
YJR024C,NP_012558 ,MDE1,P47095,NP_012558.3 methylthioribulose 1-phosphate dehydratase MDE1 [Saccharomyces cerevisiae S288c],1,cytosol,"G37, H107, H109, H192",ZincRafts,Catalytic,Aldolase_II,4.2.1.109,lyase
YKL194C,NP_012727 ,MST1,P07236,NP_012727.1 threonine--tRNA ligase MST1 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C133, H184, H319",ZincRafts,Catalytic,tRNA-synt_2b,6.1.1.3,ligase
YCR026C,NP_009955 ,NPP1,P25353,NP_009955.2 nucleotide diphosphatase/phosphodiesterase NPP1 [Saccharomyces cerevisiae S288c],2,Unknown,"D176, T219, D362, H366, D415, H416, H542",NoCluster,Catalytic,Phosphodiest,"3.1.4.1, 3.6.1.9",hydrolase
YEL016C,NP_010900 ,NPP2,P39997,NP_010900.1 nucleotide diphosphatase/phosphodiesterase NPP2 [Saccharomyces cerevisiae S288c],2,ER,"D84, T127, D257, H261, D306, H307, H435",NoCluster,Catalytic,Phosphodiest,"3.1.4.1, 3.6.1.9",hydrolase
YKL134C,NP_012788 ,OCT1,P35999,NP_012788.2 metalloendopeptidase [Saccharomyces cerevisiae S288c],1,mitochondrion,"H558, H562, E587",HelicalAnchors,Catalytic,Peptidase_M3,3.4.24.59,hydrolase
YNL082W,NP_014317 ,PMS1,P14242,NP_014317.4 ATP-binding mismatch repair protein [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","H703, E707, C817, C848, H850",NoCluster,Catalytic,MutL_C,,
YDL104C,NP_010179 ,QRI7,P43122,NP_010179.1 putative N(6)-L-threonylcarbamoyladenine synthase [Saccharomyces cerevisiae S288c],1,mitochondrion,"H145, H149, H175, D361",HelicalAnchors,Catalytic,Peptidase_M22,2.3.1.234,transferase
YDL090C,NP_010193 ,RAM1,P22007,NP_010193.1 protein farnesyltransferase [Saccharomyces cerevisiae S288c],1,cytosol,"D209, D307, C309, D360, H363",NoCluster,Catalytic,Prenyltrans,2.5.1.58,transferase
YDL216C,NP_010065 ,RRI1,Q12468,NP_010065.2 COP9 signalosome catalytic subunit RRI1 [Saccharomyces cerevisiae S288c],1,cytosol,"E120, H164, H166, D177",ZincRafts,Catalytic,JAB,3.4.-.-,hydrolase
YJR159W,NP_012693 ,SOR1,P35497,NP_012693.1 L-iditol 2-dehydrogenase SOR1 [Saccharomyces cerevisiae S288c],1,Unknown,"C43, S45, H68, E69",NoCluster,Catalytic,ADH_N,1.1.1.14,oxidoreductase
YDL246C,NP_010035 ,SOR2,Q07786,NP_010035.1 L-iditol 2-dehydrogenase SOR2 [Saccharomyces cerevisiae S288c],1,Unknown,"C43, S45, H68, E69",NoCluster,Catalytic,ADH_N,1.1.1.14,oxidoreductase
YGL243W,NP_011271 ,TAD1,P53065,NP_011271.1 tRNA-specific adenosine deaminase [Saccharomyces cerevisiae S288c],1,nucleus,"H101, C157, C223",ZincNecklaces,Catalytic,A_deamin,3.5.4.34,hydrolase
YJL035C,NP_012499 ,TAD2,P47058,NP_012499.1 tRNA(adenine34) deaminase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H54, E56, C88, C91","ZincNecklaces, NoCluster",Catalytic,dCMP_cyt_deam_1,3.5.4.33,hydrolase
YLR316C,NP_013420 ,TAD3,Q9URQ3,NP_013420.2 Tad3p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H216, C254, C257","ZincNecklaces, NoCluster",Catalytic,dCMP_cyt_deam_1,,
YJR126C,NP_012660,VPS70,P47161,NP_012660.1 putative zinc metalloprotease [Saccharomyces cerevisiae S288c],2,ER,"H445, D456, D522, H607",NoCluster,Catalytic,Peptidase_M28,3.4.-.-,hydrolase
YHR134W,NP_012002 ,WSS1,P38838,NP_012002.1 metalloendopeptidase WSS1 [Saccharomyces cerevisiae S288c],1,vacuole,"H115, H119, H125",Unknown,Catalytic,Unknown,3.4.24.-,hydrolase
YLR070C,NP_013171 ,XYL2,Q07993,NP_013171.1 D-xylulose reductase XYL2 [Saccharomyces cerevisiae S288c],1,Unknown,"C44, S46, H69, E70",NoCluster,Catalytic,ADH_N,1.1.1.9,oxidoreductase
YBR242W,NP_009801 ,YBR242W,P38331,NP_009801.1 hypothetical protein YBR242W [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H80, D109",NoCluster,Catalytic,HD,,
YDR415C,NP_010703 ,YDR415C,Q04033,NP_010703.1 putative aminopeptidase [Saccharomyces cerevisiae S288c],2,vacuole,"H177, D196, E234, E235, D262, C311, H340",NoCluster,Catalytic,Peptidase_M28,3.4.11.-,hydrolase
YFR018C,NP_116673 ,YFI8,P43599,NP_116673.1 hypothetical protein YFR018C [Saccharomyces cerevisiae S288c],2,ER,"H126, D141, E192, E193, D230, H329",NoCluster,Catalytic,Peptidase_M28,,
YJL213W,NP_012322 ,YJL213W,P40896,NP_012322.1 hypothetical protein YJL213W [Saccharomyces cerevisiae S288c],1,cytosol,"H154, H174, D246",NoCluster,Catalytic,"Amidohydro_3,Amidohydro_1",,
YMR303C,NP_014032 ,ADH2,P00331,NP_014032.1 alcohol dehydrogenase ADH2 [Saccharomyces cerevisiae S288c],2,cytosol,"C44, H67, E68, C98, C101, C104, C112","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,1.1.1.1,oxidoreductase
YCR105W,NP_010030 ,ADH7,P25377,NP_010030.1 NADP-dependent alcohol dehydrogenase [Saccharomyces cerevisiae S288c],2,Unknown,"C46, S48, H68, E69, C100, C103, C106, C114","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,1.1.1.2,oxidoreductase
YAL061W,NP_009340,BDH2,P39713,NP_009340.1 putative dehydrogenase BDH2 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C39, H73, E74, C103, C120, C123, C131","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,1.1.1.303,oxidoreductase
YOR031W,NC_001147.6 ,CRS5,P41902 ,Saccharomyces cerevisiae Metallothionein (MT),6 or 7,Unknown,Unknown,Unknown,Storage,Metallothi_Euk2﻿,,
YLR131C,NP_013232 ,ACE2,P21192,NP_013232.1 DNA-binding transcription factor ACE2 [Saccharomyces cerevisiae S288c],from 1 to 3,"cytosol, nucleus","C605, C610, H623, H627",C2H2_ZnFinger,Structural,Unknown,,
YPL202C,NP_015122 ,AFT2,Q08957,NP_015122.1 Aft2p [Saccharomyces cerevisiae S288c],1,nucleus,"C86, C109, H133, H135",NoCluster,Structural,AFT,,
YDR524C,NP_010812 ,AGE1,Q04412,NP_010812.3 Age1p [Saccharomyces cerevisiae S288c],1,endosome,"C186, C189, C207, C210",TrebleClef,Structural,ArfGap,,
YDL175C,NP_010106 ,AIR2,Q12476,NP_010106.1 TRAMP complex RNA-binding subunit [Saccharomyces cerevisiae S288c],3,nucleus,"C63, C66, H71, C76, C164, C167, H172, C177, E179, C81, C84, H90, C95, C123, C126, H131, C136",Shuffled_ZnRibbonII,Structural,zf-CCHC,,
YDL008W,NP_010276 ,APC11,Q12157,NP_010276.3 anaphase promoting complex subunit 11 [Saccharomyces cerevisiae S288c],3,vacuolar membrane,"C41, C44, C52, C55, C62, C69, H71, H74, H76, C77, C91, C94","TrebleClef, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-ANAPC11,zf-rbx1",6.3.2.-,ligase
YBL019W,NP_009534 ,APN2,P38207,NP_009534.1 DNA-(apurinic or apyrimidinic site) lyase APN2 [Saccharomyces cerevisiae S288c],1,nucleus,"C476, H478, C500, C514",Unknown,Structural,zf-GRF (Pfam),4.2.99.18,lyase
YML099C,NP_013610 ,ARG81,P05085,NP_013610.1 Arg81p [Saccharomyces cerevisiae S288c],2,nucleus,"C21, C24, C31, C38, C41, C48",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YDR421W,NP_010709 ,ARO80,Q04052,NP_010709.1 Aro80p [Saccharomyces cerevisiae S288c],2,nucleus,"C25, C28, C35, C48, C51, C58",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YLR242C,NP_013343 ,ARV1,Q06541,NP_013343.1 sterol homeostasis protein ARV1 [Saccharomyces cerevisiae S288c],1,"ER, Golgi",C3-C6-C27-C30,Unknown,Structural,Arv1,,
YKL185W,NP_012736 ,ASH1,P34233,NP_012736.1 DNA-binding transcription repressor ASH1 [Saccharomyces cerevisiae S288c],1,nucleus,"C499, C502, C523, C526",TrebleClef,Structural,GATA,,
YMR119W,NP_013837 ,ASI1,P54074,NP_013837.1 putative ubiquitin-protein ligase ASI1 [Saccharomyces cerevisiae S288c],2,nucleus,"C568, C571, C583, C589, C592, C604, C607","TrebleClef, Loosened_ZnRibbon, ZincRibbon",Structural,zf-C3HC4_3,,
YNL008C,NP_014390 ,ASI3,P53983,NP_014390.2 putative ubiquitin-protein ligase ASI3 [Saccharomyces cerevisiae S288c],2,nucleus,"C624, C627, C639, C645, C648, C660, C663","TrebleClef, Loosened_ZnRibbon, ZincRibbon",Structural,zf-C3HC4_3,,
YPR093C,NP_015418 ,ASR1,Q06834,NP_015418.2 ubiquitin-protein ligase ASR1 [Saccharomyces cerevisiae S288c],4,"cytosol, nucleus","C4, C7, C23, H25, H28, C31, C44, C47","TrebleClef, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-RING_2,zf-RING_11,zf-rbx1",,
YHR171W,NP_012041 ,ATG7,P38862,NP_012041.1 Atg7p [Saccharomyces cerevisiae S288c],1,cytosol,"C485, C488, C569",TrebleClef,Structural,ThiF,,
YHR040W,NP_011906 ,BCD1,P38772,NP_011906.1 Bcd1p [Saccharomyces cerevisiae S288c],1 or 2,"cytosol, nucleus","C5, C8, C17, C20, C25, C29",C2H2_ZnFinger,Structural,zf-HIT,,
YJR089W,NP_012622 ,BIR1,P47134,NP_012622.3 Bir1p [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C208, C211, H228, C237",C2H2_ZnFinger,Structural,BIR,,
YKL005C,NP_012921 ,BYE1,P36106,NP_012921.3 Bye1p [Saccharomyces cerevisiae S288c],2,nucleus,"C75, C77, C97, G99, C100, D101, H105, C108, C128, C131",TrebleClef,Structural,PHD,,
YMR280C,NP_014007 ,CAT8,P39113,NP_014007.1 DNA-binding transcription factor CAT8 [Saccharomyces cerevisiae S288c],2,nucleus,"C70, C73, C80, C87, C90, C97",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YMR168C,NP_013891 ,CEP3,P40969,NP_013891.1 Cep3p [Saccharomyces cerevisiae S288c],2,nucleus,"C14, C17, C24, C30, C33, C42",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YLR098C,NP_013199 ,CHA4,P43634,NP_013199.1 Cha4p [Saccharomyces cerevisiae S288c],2,nucleus,"C44, C47, C54, C60, C63, C70",Zn2Cys6_ZnFinger,Structural,Zn_clus,,
YPR013C,NP_015338 ,CMR3,Q12145,NP_015338.1 Cmr3p [Saccharomyces cerevisiae S288c],2,Unknown,"C256, C259, H272, H276, C284, C289, H302, H306, E307",C2H2_ZnFinger,Structural,Unknown,,
YER130C,NP_011056 ,COM2,P39959,NP_011056.1 Com2p [Saccharomyces cerevisiae S288c],2,Unknown,"C391, C394, H407, H412, C420, C423, K425, H436, H440","ZincRibbon, C2H2_ZnFinger",Structural,"zf-C2H2,zf-C2H2_4",,
YLR394W,NP_013498 ,CST9,Q06032,NP_013498.3 SUMO ligase CST9 [Saccharomyces cerevisiae S288c],1,nucleus,"C72, H74, C88, C91",TrebleClef,Structural,zf-RING_5,,
YDR151C,NP_010435 ,CTH1,P47976,NP_010435.1 putative mRNA-binding protein CTH1 [Saccharomyces cerevisiae S288c],2,nucleus,"C210, C219, C225, H229, C248, C257, C263, H267",ZincNecklaces,Structural,zf-CCCH,,
YGL166W,NP_011349 ,CUP2,P15315,NP_011349.3 Cup2p [Saccharomyces cerevisiae S288c],1,nucleus,"C11, C14, C23, H25",Zn2Cys6_ZnFinger,Structural,Copper-fist,,
YNL155W,NP_014244 ,CUZ1,P53899,NP_014244.1 Cuz1p [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C18, C21, C31, C34, C39, H42, H48, C50",TrebleClef,Structural,zf-AN1,,
YLR323C,NP_013427 ,CWC24,P53769,NP_013427.1 U2-type spliceosomal complex subunit CWC24 [Saccharomyces cerevisiae S288c],3,nucleus,"C144, C153, C159, H163, C199, C202, C214, H216, C219, C222, C233, C236","TrebleClef, ZincNecklaces, Loosened_ZnRibbon, ZincRibbon, Zn2Cys6_ZnFinger",Structural,"zf-C3HC4,zf-RING_5,zf-C3HC4_3,Prok-RING_4,zf-C3HC4_2,zf-RING_UBOX,zf-CCCH",,
YKR034W,NP_012959 ,DAL80,P26343,NP_012959.1 Dal80p [Saccharomyces cerevisiae S288c],1,nucleus,"C31, C34, C52, C55",TrebleClef,Structural,GATA,,
