Visible?,Starred?,Identified Proteins (219/221),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,AFO01,AFO02,AFO03,AFO04,AFO05,AFO06,AFO07,AFO08,AFO09,AFO10,AFO11,AFO12,AFO13
TRUE,Empty,EI2BG_YEAST Translation initiation factor eIF-2B subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD1 PE=1 SV=3,P09032,,66 kDa,,unknown,39%,86%,32%,100%,19%,0,47%,24%,0,17%,0,38%,9%
TRUE,Empty,SEC23_YEAST Protein transport protein SEC23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC23 PE=1 SV=1,P15303,,85 kDa,,unknown,37%,0,0,100%,43%,62%,0,0,83%,0,0,0,56%
TRUE,Empty,GGA2_YEAST ADP-ribosylation factor-binding protein GGA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GGA2 PE=1 SV=1,P38817,,64 kDa,TRUE,unknown,0,0,0,100%,0,0,0,69%,69%,63%,54%,0,0
TRUE,Empty,YPK1_YEAST Serine/threonine-protein kinase YPK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPK1 PE=1 SV=2,P12688,,76 kDa,,unknown,24%,0,0,100%,0,0,0,40%,0,0,58%,91%,0
TRUE,Empty,YB8B_YEAST Uncharacterized transporter YBR287W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR287W PE=1 SV=1,P38355,,48 kDa,,unknown,61%,67%,0,41%,0,100%,0,0,0,32%,0,0,0
TRUE,Empty,ARP3_YEAST Actin-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP3 PE=1 SV=1,P47117,,50 kDa,,unknown,0,23%,0,30%,100%,0,0,0,54%,49%,0,28%,0
TRUE,Empty,CCC1_YEAST Protein CCC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCC1 PE=1 SV=1,P47818,,34 kDa,,unknown,0,0,58%,0,0,100%,51%,0,0,64%,0,0,0
TRUE,Empty,FTR1_YEAST Plasma membrane iron permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FTR1 PE=1 SV=1,P40088,,46 kDa,,unknown,0,0,0,0,43%,100%,0,76%,0,0,0,0,31%
TRUE,Empty,SEC17_YEAST Alpha-soluble NSF attachment protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC17 PE=1 SV=4,P32602,,33 kDa,,unknown,0,0,59%,23%,0,100%,56%,0,0,0,0,0,0
TRUE,Empty,VA0D_YEAST V-type proton ATPase subunit d OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA6 PE=1 SV=2,P32366,,40 kDa,,unknown,0,0,40%,0,0,100%,0,0,31%,46%,0,0,0
TRUE,Empty,"IDH2_YEAST Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH2 PE=1 SV=1",P28241,,40 kDa,,unknown,66%,0,0,0,0,100%,0,0,0,0,0,0,0
TRUE,Empty,"YMC1_YEAST Carrier protein YMC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC1 PE=3 SV=2",P32331,,33 kDa,,unknown,0,0,0,0,0,100%,0,0,0,45%,0,42%,74%
TRUE,Empty,YRB1_YEAST Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRB1 PE=1 SV=1,P41920,,23 kDa,,unknown,0,34%,0,0,0,100%,0,0,0,11%,53%,0,0
TRUE,Empty,GPD1_YEAST Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPD1 PE=1 SV=4,Q00055,,43 kDa,TRUE,unknown,0,58%,0,0,100%,0,0,0,0,11%,16%,0,0
TRUE,Empty,LCB1_YEAST Serine palmitoyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB1 PE=1 SV=2,P25045,,62 kDa,,unknown,0,0,78%,100%,24%,0,0,0,0,0,0,0,0
