Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
LCF4_YEAST,P47912,P47912 LCF4_YEAST Long-chain-fatty-acid--CoA ligase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA4 PE=1 SV=1,FAA4,694,OS=Saccharomyces,1,0.9929,5,14,13,14,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
RS7B_YEAST,P48164,P48164 RS7B_YEAST 40S ribosomal protein S7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7B PE=1 SV=1,RPS7B,190,OS=Saccharomyces,1,0.999,13,138,48,138,0,0,3,5,5,14,2,0,0,1,0,0,3,4,1,0,0,2,4,3,3,20,0,0,0,1,1,0,1,13,2,0,0,0,1,2,4,18,2,0,0,0,1,0,1,19,2,0,
HLJ1_YEAST,P48353,P48353 HLJ1_YEAST Protein HLJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HLJ1 PE=1 SV=1,HLJ1,224,OS=Saccharomyces,1,0.9978,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,
SEC16_YEAST,P48415,P48415 SEC16_YEAST COPII coat assembly protein SEC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC16 PE=1 SV=2,SEC16,2195,OS=Saccharomyces,1,0.999,14,53,53,53,8,2,0,0,0,0,0,0,17,4,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
MON2_YEAST,P48563,P48563 MON2_YEAST Protein MON2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MON2 PE=1 SV=1,MON2,1636,OS=Saccharomyces,1,0.9989,11,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,
RS12_YEAST,P48589,P48589 RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1,RPS12,143,OS=Saccharomyces,1,0.999,5,74,74,74,0,0,1,0,2,1,7,0,0,0,0,0,2,0,10,0,0,1,1,0,2,0,5,0,0,0,0,0,1,1,10,0,0,0,0,0,1,2,11,1,0,0,0,0,1,1,13,0,
GNP1_YEAST,P48813,P48813 GNP1_YEAST High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GNP1 PE=1 SV=2,GNP1,663,OS=Saccharomyces,1,0.9989,4,19,19,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,
RL38_YEAST,P49167,P49167 RL38_YEAST 60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL38 PE=1 SV=1,RPL38,78,OS=Saccharomyces,1,0.9989,5,50,50,50,0,0,0,3,2,0,2,14,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,4,
CTR1_YEAST,P49573,P49573 CTR1_YEAST Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTR1 PE=1 SV=1,CTR1,406,OS=Saccharomyces,1,0.9931,3,7,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
PHB2_YEAST,P50085,P50085 PHB2_YEAST Prohibitin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHB2 PE=1 SV=2,PHB2,310,OS=Saccharomyces,1,0.9987,9,40,40,40,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,
IMDH4_YEAST,P50094,P50094 IMDH4_YEAST Inosine-5'-monophosphate dehydrogenase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD4 PE=1 SV=1,IMD4,524,OS=Saccharomyces,1,0.999,12,71,32,71,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,
IMDH3_YEAST,P50095,P50095 IMDH3_YEAST Inosine-5'-monophosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD3 PE=1 SV=1,IMD3,523,OS=Saccharomyces,1,0.999,9,39,26,39,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,
MNN10_YEAST,P50108,"P50108 MNN10_YEAST Probable alpha-1,6-mannosyltransferase MNN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN10 PE=1 SV=1",MNN10,393,OS=Saccharomyces,1,0.9979,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
NU188_YEAST,P52593,P52593 NU188_YEAST Nucleoporin NUP188 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP188 PE=1 SV=1,NUP188,1655,OS=Saccharomyces,1,0.9725,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
ACS2_YEAST,P52910,P52910 ACS2_YEAST Acetyl-coenzyme A synthetase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS2 PE=1 SV=1,ACS2,683,OS=Saccharomyces,1,0.999,8,37,37,37,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,
SHE10_YEAST,P53075,P53075 SHE10_YEAST Outer spore wall assembly protein SHE10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHE10 PE=1 SV=1,SHE10,577,OS=Saccharomyces,1,0.9908,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRP43_YEAST,P53131,P53131 PRP43_YEAST Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP43 PE=1 SV=1,PRP43,767,OS=Saccharomyces,1,0.9984,10,21,21,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
ERG26_YEAST,P53199,"P53199 ERG26_YEAST Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG26 PE=1 SV=1",ERG26,349,OS=Saccharomyces,1,0.999,6,30,30,30,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,
RL26B_YEAST,P53221,P53221 RL26B_YEAST 60S ribosomal protein L26-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL26B PE=1 SV=2,RPL26B,127,OS=Saccharomyces,1,0.9984,12,177,30,177,0,0,6,4,6,3,22,0,0,3,1,1,4,0,23,0,0,2,1,1,8,3,19,0,0,2,2,0,4,2,18,0,0,0,2,3,1,1,14,0,0,0,1,0,2,3,15,0,
PIL1_YEAST,P53252,P53252 PIL1_YEAST Sphingolipid long chain base-responsive protein PIL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIL1 PE=1 SV=1,PIL1,339,OS=Saccharomyces,1,0.999,9,77,60,77,0,0,0,7,15,0,0,0,1,0,0,10,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,8,0,0,0,
VOA1_YEAST,P53262,P53262 VOA1_YEAST V0 assembly protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VOA1 PE=1 SV=1,VOA1,265,OS=Saccharomyces,1,0.9976,2,11,11,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,
UTP8_YEAST,P53276,P53276 UTP8_YEAST U3 small nucleolar RNA-associated protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP8 PE=1 SV=1,UTP8,713,OS=Saccharomyces,1,0.9764,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBP1_YEAST,P53297,P53297 PBP1_YEAST PAB1-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBP1 PE=1 SV=1,PBP1,722,OS=Saccharomyces,1,0.999,8,67,67,67,0,0,4,9,4,0,0,0,0,5,4,2,4,0,0,0,0,0,7,4,3,0,0,0,0,0,3,3,1,0,0,0,0,0,4,7,1,0,0,0,0,0,0,1,1,0,0,0,
ERV29_YEAST,P53337,P53337 ERV29_YEAST ER-derived vesicles protein ERV29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERV29 PE=1 SV=1,ERV29,310,OS=Saccharomyces,1,0.9987,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,
DIP5_YEAST,P53388,P53388 DIP5_YEAST Dicarboxylic amino acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIP5 PE=1 SV=1,DIP5,608,OS=Saccharomyces,1,0.9989,2,7,7,7,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
PRS10_YEAST,P53549,P53549 PRS10_YEAST 26S protease subunit RPT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT4 PE=1 SV=4,RPT4,437,OS=Saccharomyces,1,0.9989,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
DCP2_YEAST,P53550,P53550 DCP2_YEAST mRNA-decapping enzyme subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCP2 PE=1 SV=1,DCP2,970,OS=Saccharomyces,1,0.9969,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARE2_YEAST,P53629,P53629 ARE2_YEAST Sterol O-acyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARE2 PE=1 SV=1,ARE2,642,OS=Saccharomyces,1,0.9918,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,
RCF2_YEAST,P53721,"P53721 RCF2_YEAST Respiratory supercomplex factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCF2 PE=1 SV=1",RCF2,224,OS=Saccharomyces,1,0.9959,4,15,15,15,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,
YN8B_YEAST,P53723,P53723 YN8B_YEAST UPF0674 endoplasmic reticulum membrane protein YNR021W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR021W PE=1 SV=3,YNR021W,404,OS=Saccharomyces,1,0.9908,3,16,16,16,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,
NOG2_YEAST,P53742,P53742 NOG2_YEAST Nucleolar GTP-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOG2 PE=1 SV=1,NOG2,486,OS=Saccharomyces,1,0.999,5,12,12,12,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
ALG9_YEAST,P53868,"P53868 ALG9_YEAST Alpha-1,2-mannosyltransferase ALG9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG9 PE=1 SV=1",ALG9,555,OS=Saccharomyces,1,0.9978,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,
KRE33_YEAST,P53914,P53914 KRE33_YEAST UPF0202 protein KRE33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE33 PE=1 SV=1,KRE33,1056,OS=Saccharomyces,1,0.9981,3,16,16,16,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
IMP4_YEAST,P53941,P53941 IMP4_YEAST U3 small nucleolar ribonucleoprotein protein IMP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMP4 PE=1 SV=1,IMP4,290,OS=Saccharomyces,1,0.9978,4,15,15,15,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,
ALG11_YEAST,P53954,"P53954 ALG11_YEAST GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG11 PE=1 SV=1",ALG11,548,OS=Saccharomyces,1,0.9912,6,16,16,16,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,
IDHH_YEAST,P53982,P53982 IDHH_YEAST Isocitrate dehydrogenase [NADP] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP3 PE=3 SV=1,IDP3,420,OS=Saccharomyces,1,0.9958,3,3,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SUR7_YEAST,P54003,P54003 SUR7_YEAST Protein SUR7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUR7 PE=1 SV=1,SUR7,302,OS=Saccharomyces,1,0.9987,3,16,16,16,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,
ALDH6_YEAST,P54115,"P54115 ALDH6_YEAST Magnesium-activated aldehyde dehydrogenase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD6 PE=1 SV=4",ALD6,500,OS=Saccharomyces,1,0.999,23,226,226,226,2,1,10,38,5,0,0,0,1,6,20,8,3,0,0,0,2,7,8,24,2,0,0,0,0,3,16,14,3,0,0,0,1,0,17,16,4,0,0,0,5,2,2,4,2,0,0,0,
ERG5_YEAST,P54781,P54781 ERG5_YEAST Cytochrome P450 61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG5 PE=1 SV=1,ERG5,538,OS=Saccharomyces,1,0.9948,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
HMCS_YEAST,P54839,P54839 HMCS_YEAST Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG13 PE=1 SV=1,ERG13,491,OS=Saccharomyces,1,0.9989,5,8,8,8,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
ACT_YEAST,P60010,P60010 ACT_YEAST Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1,ACT1,375,OS=Saccharomyces,1,0.999,13,376,375,376,5,0,9,15,16,7,10,16,31,15,6,16,9,0,6,6,2,8,10,10,16,8,10,2,3,7,10,3,8,5,5,10,2,2,9,16,9,5,4,4,1,3,7,4,11,6,5,4,
H3_YEAST,P61830,P61830 H3_YEAST Histone H3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHT1 PE=1 SV=2,HHT1,136,OS=Saccharomyces,1,0.9895,5,71,71,71,0,0,2,1,7,1,4,0,4,2,0,2,0,0,4,0,1,2,2,1,2,2,7,0,0,0,1,0,1,0,1,0,0,0,1,4,1,0,7,0,0,1,1,0,1,3,5,0,
SEC5_YEAST,P89102,P89102 SEC5_YEAST Exocyst complex component SEC5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC5 PE=1 SV=1,SEC5,971,OS=Saccharomyces,1,0.9988,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SDHA_YEAST,Q00711,"Q00711 SDHA_YEAST Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH1 PE=1 SV=1",SDH1,640,OS=Saccharomyces,1,0.9982,3,13,8,13,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACAC_YEAST,Q00955,Q00955 ACAC_YEAST Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2,ACC1,2233,OS=Saccharomyces,1,0.9946,5,14,14,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
RPA49_YEAST,Q01080,Q01080 RPA49_YEAST DNA-directed RNA polymerase I subunit RPA49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA49 PE=1 SV=2,RPA49,415,OS=Saccharomyces,1,0.999,19,85,85,85,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,
RS15_YEAST,Q01855,Q01855 RS15_YEAST 40S ribosomal protein S15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS15 PE=1 SV=1,RPS15,142,OS=Saccharomyces,1,0.999,6,121,121,121,0,0,3,2,2,4,18,0,0,3,0,3,2,0,13,0,0,1,3,2,2,2,10,0,0,3,2,2,2,2,8,0,0,0,1,3,4,4,5,0,0,0,1,0,2,2,10,0,
ATN2_YEAST,Q01896,Q01896 ATN2_YEAST Sodium transport ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENA2 PE=1 SV=1,ENA2,1091,OS=Saccharomyces,1,0.9983,6,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Q12691
PRS8_YEAST,Q01939,Q01939 PRS8_YEAST 26S protease regulatory subunit 8 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT6 PE=1 SV=4,RPT6,405,OS=Saccharomyces,1,0.9983,5,33,19,33,0,0,0,1,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,4,0,0,0,
OSH6_YEAST,Q02201,Q02201 OSH6_YEAST Oxysterol-binding protein homolog 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSH6 PE=1 SV=1,OSH6,448,OS=Saccharomyces,1,0.9856,6,20,13,20,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,
VTC3_YEAST,Q02725,Q02725 VTC3_YEAST Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC3 PE=1 SV=1,VTC3,835,OS=Saccharomyces,1,0.999,11,23,20,23,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RL21A_YEAST,Q02753,Q02753 RL21A_YEAST 60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21A PE=1 SV=1,RPL21A,160,OS=Saccharomyces,1,0.9964,6,152,0,152,0,1,5,5,6,8,9,0,1,4,4,3,5,4,6,0,0,3,4,2,5,5,10,0,0,4,2,0,5,5,8,0,0,0,1,5,4,4,4,0,0,1,3,0,6,5,5,0,Q12672
NOG1_YEAST,Q02892,Q02892 NOG1_YEAST Nucleolar GTP-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOG1 PE=1 SV=1,NOG1,647,OS=Saccharomyces,1,0.9914,5,12,12,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTP17_YEAST,Q02931,Q02931 UTP17_YEAST NET1-associated nuclear protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAN1 PE=1 SV=1,NAN1,896,OS=Saccharomyces,1,0.9987,5,7,7,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODC1_YEAST,Q03028,Q03028 ODC1_YEAST Mitochondrial 2-oxodicarboxylate carrier 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ODC1 PE=1 SV=1,ODC1,310,OS=Saccharomyces,1,0.9988,6,43,43,43,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,
RMT2_YEAST,Q03305,Q03305 RMT2_YEAST Protein arginine N-methyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RMT2 PE=1 SV=1,RMT2,412,OS=Saccharomyces,1,0.9987,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,
TRS31_YEAST,Q03337,Q03337 TRS31_YEAST Trafficking protein particle complex subunit 31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRS31 PE=1 SV=1,TRS31,283,OS=Saccharomyces,1,0.9966,2,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
EBS1_YEAST,Q03466,Q03466 EBS1_YEAST Protein EBS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EBS1 PE=3 SV=1,EBS1,884,OS=Saccharomyces,1,0.998,3,3,3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RSN1_YEAST,Q03516,Q03516 RSN1_YEAST Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,RSN1,953,OS=Saccharomyces,1,0.9977,3,8,8,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
HAS1_YEAST,Q03532,Q03532 HAS1_YEAST ATP-dependent RNA helicase HAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAS1 PE=1 SV=1,HAS1,505,OS=Saccharomyces,1,0.999,22,134,134,134,0,0,0,35,2,0,1,0,0,0,1,25,0,0,1,0,0,0,1,15,1,0,0,0,0,0,2,15,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,0,
